Player,Age,Team,Pos,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl%
Israel Mukuamu,25,DAL,S,2,16,10,62.5,124,12.4,7.8,0,46.9,15,75,49,6,0,1,0,0,1,19,0
Theo Jackson,26,MIN,S,1,7,4,57.1,64,16,9.1,0,48.2,11.9,50,14,7,0,0,0,0,0,17,5.6
Marco Wilson,25,2TM,CB,0,23,16,69.6,206,12.9,9,1,111.9,8.7,123,4,0,0,0,0,0,0,17,19
Zayne Anderson,27,GNB,S,1,2,0,0,11,,5.5,0,10.4,12.5,5,6,1,0,0,0,0,0,16,5.9
Kindle Vildor,27,DET,CB,0,25,11,44,140,12.7,5.6,0,62.1,15.8,67,73,0,0,0,0,0,0,16,5.9
Kelee Ringo,22,PHI,CB,0,9,5,55.6,113,22.6,12.6,1,137.5,14.1,53,60,1,0,0,0,0,0,15,6.3
Michael Davis,29,WAS,CB,0,21,15,71.4,174,11.6,8.3,0,96.1,6.6,97,77,0,0,0,0,0,0,14,17.6
Richie Grant,27,ATL,S,0,12,6,50,74,12.3,6.2,1,97.2,9,17,57,5,2,0,0,0,2,14,12.5
Tavierre Thomas,28,TAM,CB,0,5,5,100,67,13.4,13.4,0,118.7,8.2,41,26,2,0,0,0,0,0,14,12.5
Josh Blackwell,25,CHI,DB,1,7,5,71.4,60,12,8.6,0,57.7,6,19,41,6,1,0,0,0,1,13,7.1
Mike Ford,29,CLE,CB,0,5,4,80,45,11.3,9,1,143.7,8,38,7,0,0,0,0,0,0,13,7.1
Brenden Schooler,27,NWE,S,0,4,2,50,9,4.5,2.3,1,95.8,13.8,0,9,4,0,1,0,2,3,13,0
Kei'Trel Clark,23,ARI,CB,1,10,8,80,92,11.5,9.2,1,98.7,7.3,62,30,1,0,0,0,1,1,12,7.7
Marcellas Dial,24,NWE,DB,0,5,4,80,43,10.8,8.6,0,102.5,7.2,37,6,0,0,0,0,0,0,12,14.3
M.J. Stewart,29,HOU,S,0,4,1,25,19,19,4.8,0,46.9,15.8,17,2,3,0,0,0,0,0,12,7.7
Elijah Campbell,29,MIA,DB,0,6,3,50,33,11,5.5,0,66.7,9.2,26,7,1,1,0,0,0,1,11,26.7
Siran Neal,30,MIA,CB,0,7,3,42.9,27,9,3.9,0,53.9,7.6,12,15,0,0,0,0,0,0,11,0
Rico Payton,25,NOR,CB,0,2,0,0,0,,0,0,39.6,23,0,0,0,0,0,0,0,0,11,0
Kevin King,29,ATL,CB,0,11,9,81.8,110,12.2,10,0,108.3,10.7,58,52,2,0,0,0,0,0,10,16.7
Josh Wallace,24,LAR,DB,0,15,8,53.3,49,6.1,3.3,0,60.1,5.5,-3,52,5,0,0,0,0,0,10,23.1
Brandon Codrington,24,BUF,DB,0,13,10,76.9,67,6.7,5.2,2,127.2,5,46,21,0,0,0,0,0,0,9,0
C.J. Goodwin,34,DAL,CB,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,9,0
Kris Boyd,28,HOU,CB,0,4,2,50,63,31.5,15.8,0,95.8,24.5,51,12,0,0,0,0,0,0,8,20
Rodney Thomas II,26,IND,S,0,2,2,100,15,7.5,7.5,0,97.9,14.5,13,2,0,0,0,0,0,0,7,12.5
Corey Ballentine,28,GNB,CB,0,8,4,50,56,14,7,1,112.5,15.3,40,16,0,0,0,0,0,0,6,14.3
Christopher Smith,24,LVR,S,0,1,1,100,7,7,7,0,95.8,-2,-2,9,0,0,0,0,0,0,6,0
Jay Ward,24,MIN,S,0,1,1,100,0,0,0,0,79.2,3,0,0,4,0,1,0,0,1,6,0
Tremon Smith,28,DEN,CB,0,1,0,0,0,,0,0,39.6,11,0,0,0,0,0,0,0,0,4,0
